displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,2937.31,,,2025,Annual
Depreciation/ Depletion ,Depreciation/Depletion,313.34,,,2025,Annual
Non- Cash Items ,Non-CashItems,-76.59,,,2025,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-693.41,,,2025,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,2480.65,,,2025,Annual
Capital Expenditures ,CapitalExpenditures,-374.85,,,2025,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,459.21,,,2025,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,84.36,,,2025,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-169.95,,,2025,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-1767.54,,,2025,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-824.37,,,2025,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-2761.86,,,2025,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,2.64,,,2025,Annual
Net Changein Cash ,NetChangeinCash,-194.21,,,2025,Annual
Cash Interest Paid ,CashInterestPaid,171.51,,,2025,Annual
Cash Taxes Paid ,CashTaxesPaid,689.21,,,2025,Annual
period Length ,periodLength,12,,,2025,Annual
period Type ,periodType,Months,,,2025,Annual
