rank,since,firstName,mI,lastName,age,title
1,04/01/2014,Varun,,Berry,63,"{'startYear': '2025', 'startMonth': '5', 'startDay': '8', 'iD1': 'CEO', 'abbr1': 'CEO', 'iD2': 'VCH', 'abbr2': 'Vice Chmn.', 'Value': 'Chief Executive Officer, Executive Vice Chairman of the Board, Managing Director'}"
2,NA,N.,,Venkataraman,,"{'startYear': '2021', 'startMonth': '7', 'startDay': '30', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': 'EDR', 'abbr2': 'Exec. Dir.', 'Value': 'Chief Financial Officer, Executive Director'}"
3,04/03/2024,Susheel,,Navanale,,"{'startYear': '2024', 'startMonth': '4', 'startDay': '3', 'iD1': 'CIO', 'abbr1': 'CIO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Information Officer'}"
4,10/15/2018,Tharayil,Velayudhan,Thulsidass,,"{'startYear': '2023', 'startMonth': '', 'startDay': '', 'iD1': 'CCO', 'abbr1': 'Chief Comp.', 'iD2': 'SEC', 'abbr2': 'Secy.', 'Value': 'Compliance Officer, Company Secretary'}"
5,2016,Ritesh,,Rana,,"{'startYear': '2016', 'startMonth': '', 'startDay': '', 'iD1': 'VPR', 'abbr1': 'VP', 'iD2': 'DHR', 'abbr2': 'Dir.-HR', 'Value': 'Vice President - Human Resources'}"
6,05/2014,Manjunath,,Desai,,"{'startYear': '2018', 'startMonth': '3', 'startDay': '31', 'iD1': 'VPR', 'abbr1': 'VP', 'iD2': '', 'abbr2': '', 'Value': 'Vice President - Consumer Insight, Media and Competitive Intelligence'}"
7,2019,Annu,,Gupta,,"{'startYear': '2019', 'startMonth': '', 'startDay': '', 'iD1': 'VPR', 'abbr1': 'VP', 'iD2': '', 'abbr2': '', 'Value': 'Vice President - International Business'}"
8,2013,Manoj,,Balgi,,"{'startYear': '2024', 'startMonth': '8', 'startDay': '1', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Chief Manufacturing and Procurement Officer'}"
9,NA,Vipin,Kumar,Kataria,,"{'startYear': '2024', 'startMonth': '', 'startDay': '', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Chief Commercial Officer - Sales and Replenishment'}"
10,2016,Sudhir,,Nema,,"{'startYear': '2016', 'startMonth': '', 'startDay': '', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Chief Development and Quality Officer'}"
