displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,117.99,,,2022,Annual
Short Term Investments ,ShortTermInvestments,861.55,,,2022,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,979.54,,,2022,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,408.82,,,2022,Annual
Total Receivables Net ,TotalReceivablesNet,1524.31,,,2022,Annual
Total Inventory ,TotalInventory,1398.02,,,2022,Annual
Prepaid Expenses ,PrepaidExpenses,29.18,,,2022,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,51.25,,,2022,Annual
Total Current Assets ,TotalCurrentAssets,3982.30,,,2022,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,2751.23,,,2022,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-1167.18,,,2022,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,2119.73,,,2022,Annual
Goodwill Net ,GoodwillNet,139.61,,,2022,Annual
Intangibles Net ,IntangiblesNet,15.60,,,2022,Annual
Long Term Investments ,LongTermInvestments,955.29,,,2022,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,244.06,,,2022,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,70.82,,,2022,Annual
Total Assets ,TotalAssets,7527.41,,,2022,Annual
Accounts Payable ,AccountsPayable,1322.81,,,2022,Annual
Accrued Expenses ,AccruedExpenses,144.39,,,2022,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,1019.87,,,2022,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,740.58,,,2022,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,919.49,,,2022,Annual
Total Current Liabilities ,TotalCurrentLiabilities,4147.14,,,2022,Annual
Long Term Debt ,LongTermDebt,706.99,,,2022,Annual
Capital Lease Obligations ,CapitalLeaseObligations,13.76,,,2022,Annual
Total Long Term Debt ,TotalLongTermDebt,720.75,,,2022,Annual
Total Debt ,TotalDebt,2481.20,,,2022,Annual
Deferred Income Tax ,DeferredIncomeTax,0.81,,,2022,Annual
Minority Interest ,MinorityInterest,27.50,,,2022,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,73.11,,,2022,Annual
Total Liabilities ,TotalLiabilities,4969.31,,,2022,Annual
Common Stock Total ,CommonStockTotal,24.09,,,2022,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,244.98,,,2022,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),2275.89,,,2022,Annual
Other Equity Total ,OtherEquityTotal,13.14,,,2022,Annual
Total Equity ,TotalEquity,2558.10,,,2022,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,7527.41,,,2022,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,24.09,,,2022,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,99.76,,,2022,Annual
period Length ,periodLength,0.00,,,2022,Annual
