displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,13926.00,,,2024,Interim
Depreciation/ Depletion ,Depreciation/Depletion,1216.00,,,2024,Interim
Non- Cash Items ,Non-CashItems,-605,,,2024,Interim
Changesin Working Capital ,ChangesinWorkingCapital,932.00,,,2024,Interim
Cashfrom Operating Activities ,CashfromOperatingActivities,15469.00,,,2024,Interim
Capital Expenditures ,CapitalExpenditures,-1477,,,2024,Interim
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-3847,,,2024,Interim
Cashfrom Investing Activities ,CashfromInvestingActivities,-5324,,,2024,Interim
Financing Cash Flow Items ,FinancingCashFlowItems,-110,,,2024,Interim
Total Cash Dividends Paid ,TotalCashDividendsPaid,-9416,,,2024,Interim
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-508,,,2024,Interim
Cashfrom Financing Activities ,CashfromFinancingActivities,-10034,,,2024,Interim
Net Changein Cash ,NetChangeinCash,111.00,,,2024,Interim
Cash Interest Paid ,CashInterestPaid,110.00,,,2024,Interim
Cash Taxes Paid ,CashTaxesPaid,381.00,,,2024,Interim
period Length ,periodLength,12,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
