displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,7782.00,,,2022,Annual
Cash Equivalents ,CashEquivalents,2720.00,,,2022,Annual
Short Term Investments ,ShortTermInvestments,8363.00,,,2022,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,18865.00,,,2022,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,21364.00,,,2022,Annual
Total Receivables Net ,TotalReceivablesNet,26116.00,,,2022,Annual
Total Inventory ,TotalInventory,274.00,,,2022,Annual
Prepaid Expenses ,PrepaidExpenses,1475.00,,,2022,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,1311.00,,,2022,Annual
Total Current Assets ,TotalCurrentAssets,48041.00,,,2022,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,15101.00,,,2022,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-7184,,,2022,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,8046.00,,,2022,Annual
Goodwill Net ,GoodwillNet,17417.00,,,2022,Annual
Intangibles Net ,IntangiblesNet,9743.00,,,2022,Annual
Long Term Investments ,LongTermInvestments,113.00,,,2022,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,2111.00,,,2022,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,3562.00,,,2022,Annual
Total Assets ,TotalAssets,89033.00,,,2022,Annual
Accounts Payable ,AccountsPayable,2920.00,,,2022,Annual
Accrued Expenses ,AccruedExpenses,7814.00,,,2022,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2022,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,761.00,,,2022,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,7280.00,,,2022,Annual
Total Current Liabilities ,TotalCurrentLiabilities,18775.00,,,2022,Annual
Long Term Debt ,LongTermDebt,3923.00,,,2022,Annual
Capital Lease Obligations ,CapitalLeaseObligations,1659.00,,,2022,Annual
Total Long Term Debt ,TotalLongTermDebt,5582.00,,,2022,Annual
Total Debt ,TotalDebt,6343.00,,,2022,Annual
Deferred Income Tax ,DeferredIncomeTax,112.00,,,2022,Annual
Minority Interest ,MinorityInterest,92.00,,,2022,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,2558.00,,,2022,Annual
Total Liabilities ,TotalLiabilities,27119.00,,,2022,Annual
Common Stock Total ,CommonStockTotal,543.00,,,2022,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,7.00,,,2022,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),58508.00,,,2022,Annual
Treasury Stock- Common ,TreasuryStock-Common,-804,,,2022,Annual
Other Equity Total ,OtherEquityTotal,3660.00,,,2022,Annual
Total Equity ,TotalEquity,61914.00,,,2022,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,89033.00,,,2022,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,271.37,,,2022,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,128.07,,,2022,Annual
period Length ,periodLength,0.00,,,2022,Annual
