displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,4004.00,,,2020,Annual
Cash Equivalents ,CashEquivalents,839.00,,,2020,Annual
Short Term Investments ,ShortTermInvestments,7112.00,,,2020,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,11955.00,,,2020,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,18548.00,,,2020,Annual
Total Receivables Net ,TotalReceivablesNet,24292.00,,,2020,Annual
Total Inventory ,TotalInventory,222.00,,,2020,Annual
Prepaid Expenses ,PrepaidExpenses,1147.00,,,2020,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,804.00,,,2020,Annual
Total Current Assets ,TotalCurrentAssets,38420.00,,,2020,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,13883.00,,,2020,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-5741,,,2020,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,8542.00,,,2020,Annual
Goodwill Net ,GoodwillNet,16154.00,,,2020,Annual
Intangibles Net ,IntangiblesNet,13194.00,,,2020,Annual
Long Term Investments ,LongTermInvestments,78.00,,,2020,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,2343.00,,,2020,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,4175.00,,,2020,Annual
Total Assets ,TotalAssets,82906.00,,,2020,Annual
Accounts Payable ,AccountsPayable,2139.00,,,2020,Annual
Accrued Expenses ,AccruedExpenses,2518.00,,,2020,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,1845.00,,,2020,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,1114.00,,,2020,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,16114.00,,,2020,Annual
Total Current Liabilities ,TotalCurrentLiabilities,23730.00,,,2020,Annual
Long Term Debt ,LongTermDebt,2848.00,,,2020,Annual
Capital Lease Obligations ,CapitalLeaseObligations,2179.00,,,2020,Annual
Total Long Term Debt ,TotalLongTermDebt,5027.00,,,2020,Annual
Total Debt ,TotalDebt,7986.00,,,2020,Annual
Deferred Income Tax ,DeferredIncomeTax,87.00,,,2020,Annual
Minority Interest ,MinorityInterest,544.00,,,2020,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,2251.00,,,2020,Annual
Total Liabilities ,TotalLiabilities,31639.00,,,2020,Annual
Common Stock Total ,CommonStockTotal,543.00,,,2020,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,7.00,,,2020,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),48512.00,,,2020,Annual
Other Equity Total ,OtherEquityTotal,2205.00,,,2020,Annual
Total Equity ,TotalEquity,51267.00,,,2020,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,82906.00,,,2020,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,271.37,,,2020,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,80.77,,,2020,Annual
period Length ,periodLength,0.00,,,2020,Annual
