displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,20967.00,,,2024,Interim
Depreciation/ Depletion ,Depreciation/Depletion,4173.00,,,2024,Interim
Non- Cash Items ,Non-CashItems,-785,,,2024,Interim
Changesin Working Capital ,ChangesinWorkingCapital,-1907,,,2024,Interim
Cashfrom Operating Activities ,CashfromOperatingActivities,22448.00,,,2024,Interim
Capital Expenditures ,CapitalExpenditures,-1048,,,2024,Interim
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-5675,,,2024,Interim
Cashfrom Investing Activities ,CashfromInvestingActivities,-6723,,,2024,Interim
Financing Cash Flow Items ,FinancingCashFlowItems,-62,,,2024,Interim
Total Cash Dividends Paid ,TotalCashDividendsPaid,-14073,,,2024,Interim
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-1329,,,2024,Interim
Cashfrom Financing Activities ,CashfromFinancingActivities,-15464,,,2024,Interim
Foreign Exchange Effects ,ForeignExchangeEffects,115.00,,,2024,Interim
Net Changein Cash ,NetChangeinCash,376.00,,,2024,Interim
Cash Interest Paid ,CashInterestPaid,64.00,,,2024,Interim
Cash Taxes Paid ,CashTaxesPaid,4494.00,,,2024,Interim
period Length ,periodLength,12,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
