displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,3408.70,,,2020,Annual
Cash Equivalents ,CashEquivalents,11041.20,,,2020,Annual
Short Term Investments ,ShortTermInvestments,18883.90,,,2020,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,33333.80,,,2020,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,14940.70,,,2020,Annual
Total Receivables Net ,TotalReceivablesNet,16643.70,,,2020,Annual
Total Inventory ,TotalInventory,498.60,,,2020,Annual
Prepaid Expenses ,PrepaidExpenses,987.60,,,2020,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,521.40,,,2020,Annual
Total Current Assets ,TotalCurrentAssets,51985.10,,,2020,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,20468.10,,,2020,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-10681.30,,,2020,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,9786.80,,,2020,Annual
Goodwill Net ,GoodwillNet,13101.20,,,2020,Annual
Intangibles Net ,IntangiblesNet,1636.20,,,2020,Annual
Long Term Investments ,LongTermInvestments,1068.00,,,2020,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,2176.30,,,2020,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,1952.60,,,2020,Annual
Total Assets ,TotalAssets,81706.20,,,2020,Annual
Accounts Payable ,AccountsPayable,2705.30,,,2020,Annual
Accrued Expenses ,AccruedExpenses,6343.20,,,2020,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,5402.00,,,2020,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,2574.20,,,2020,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,4614.60,,,2020,Annual
Total Current Liabilities ,TotalCurrentLiabilities,21639.30,,,2020,Annual
Long Term Debt ,LongTermDebt,484.00,,,2020,Annual
Capital Lease Obligations ,CapitalLeaseObligations,1263.80,,,2020,Annual
Total Long Term Debt ,TotalLongTermDebt,1747.80,,,2020,Annual
Total Debt ,TotalDebt,9724.00,,,2020,Annual
Deferred Income Tax ,DeferredIncomeTax,282.50,,,2020,Annual
Minority Interest ,MinorityInterest,187.50,,,2020,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,2103.30,,,2020,Annual
Total Liabilities ,TotalLiabilities,25960.40,,,2020,Annual
Common Stock Total ,CommonStockTotal,1142.70,,,2020,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,127.50,,,2020,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),52353.20,,,2020,Annual
Other Equity Total ,OtherEquityTotal,2122.40,,,2020,Annual
Total Equity ,TotalEquity,55745.80,,,2020,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,81706.20,,,2020,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,1138.12,,,2020,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,36.03,,,2020,Annual
period Length ,periodLength,0.00,,,2020,Annual
