displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,2795.00,,,2024,Interim
Cash Equivalents ,CashEquivalents,6212.00,,,2024,Interim
Short Term Investments ,ShortTermInvestments,35280.00,,,2024,Interim
Cashand Short Term Investments ,CashandShortTermInvestments,44287.00,,,2024,Interim
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,60187.00,,,2024,Interim
Total Receivables Net ,TotalReceivablesNet,63407.00,,,2024,Interim
Total Inventory ,TotalInventory,204.00,,,2024,Interim
Prepaid Expenses ,PrepaidExpenses,2055.00,,,2024,Interim
Other Current Assets Total ,OtherCurrentAssetsTotal,3031.00,,,2024,Interim
Total Current Assets ,TotalCurrentAssets,112984.00,,,2024,Interim
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,43303.00,,,2024,Interim
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-24477,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,18826.00,,,2024,Interim
Goodwill Net ,GoodwillNet,1832.00,,,2024,Interim
Intangibles Net ,IntangiblesNet,510.00,,,2024,Interim
Long Term Investments ,LongTermInvestments,2529.00,,,2024,Interim
Note Receivable- Long Term ,NoteReceivable-LongTerm,2386.00,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,7382.00,,,2024,Interim
Total Assets ,TotalAssets,146449.00,,,2024,Interim
Accounts Payable ,AccountsPayable,9981.00,,,2024,Interim
Accrued Expenses ,AccruedExpenses,14609.00,,,2024,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2024,Interim
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,1505.00,,,2024,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,20009.00,,,2024,Interim
Total Current Liabilities ,TotalCurrentLiabilities,46104.00,,,2024,Interim
Capital Lease Obligations ,CapitalLeaseObligations,6516.00,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,6516.00,,,2024,Interim
Total Debt ,TotalDebt,8021.00,,,2024,Interim
Deferred Income Tax ,DeferredIncomeTax,977.00,,,2024,Interim
Minority Interest ,MinorityInterest,830.00,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,1533.00,,,2024,Interim
Total Liabilities ,TotalLiabilities,55960.00,,,2024,Interim
Common Stock Total ,CommonStockTotal,362.00,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),86946.00,,,2024,Interim
Unrealized Gain( Loss) ,UnrealizedGain(Loss),235.00,,,2024,Interim
Other Equity Total ,OtherEquityTotal,2946.00,,,2024,Interim
Total Equity ,TotalEquity,90489.00,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,146449.00,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,361.81,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,243.63,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
