displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,46099.00,,,2024,Interim
Depreciation/ Depletion ,Depreciation/Depletion,4985.00,,,2024,Interim
Non- Cash Items ,Non-CashItems,12625.00,,,2024,Interim
Changesin Working Capital ,ChangesinWorkingCapital,-19371,,,2024,Interim
Cashfrom Operating Activities ,CashfromOperatingActivities,44338.00,,,2024,Interim
Capital Expenditures ,CapitalExpenditures,-2674,,,2024,Interim
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,8700.00,,,2024,Interim
Cashfrom Investing Activities ,CashfromInvestingActivities,6026.00,,,2024,Interim
Financing Cash Flow Items ,FinancingCashFlowItems,-4785,,,2024,Interim
Total Cash Dividends Paid ,TotalCashDividendsPaid,-25137,,,2024,Interim
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,-17000,,,2024,Interim
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-1614,,,2024,Interim
Cashfrom Financing Activities ,CashfromFinancingActivities,-48536,,,2024,Interim
Foreign Exchange Effects ,ForeignExchangeEffects,65.00,,,2024,Interim
Net Changein Cash ,NetChangeinCash,1893.00,,,2024,Interim
Cash Interest Paid ,CashInterestPaid,699.00,,,2024,Interim
Cash Taxes Paid ,CashTaxesPaid,12489.00,,,2024,Interim
period Length ,periodLength,12,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
