rank,since,firstName,mI,lastName,age,title
1,NA,Ravindra,Kumar,Tyagi,58,"{'startYear': '2024', 'startMonth': '7', 'startDay': '1', 'iD1': 'CHM', 'abbr1': 'Chmn.', 'iD2': 'MDR', 'abbr2': 'Mgng.Dir.', 'Value': 'Executive Chairman of the Board, Managing Director, Director (Projects)'}"
2,01/01/2023,Rajil,,Srivastava,,"{'startYear': '2024', 'startMonth': '', 'startDay': '', 'iD1': 'CEO', 'abbr1': 'CEO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Executive Officer'}"
3,NA,Ravisankar,,Ganesan,58,"{'startYear': '2022', 'startMonth': '9', 'startDay': '26', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': 'EDR', 'abbr2': 'Exec. Dir.', 'Value': 'Chief Financial Officer, Whole Time Directors'}"
4,12/01/2022,Burra Vamsi,Rama,Mohan,,"{'startYear': '2024', 'startMonth': '', 'startDay': '', 'iD1': 'COO', 'abbr1': 'COO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Operating Officer'}"
5,11/01/2022,Dilip,Nagesh,Rozekar,,"{'startYear': '2024', 'startMonth': '', 'startDay': '', 'iD1': 'COO', 'abbr1': 'COO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Operating Officer'}"
6,01/01/2024,Doman,,Yadav,,"{'startYear': '2024', 'startMonth': '1', 'startDay': '1', 'iD1': 'CIO', 'abbr1': 'CIO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Information Security Officer, Executive Director'}"
7,05/01/2024,Satyaprakash,,Dash,51,"{'startYear': '2024', 'startMonth': '5', 'startDay': '1', 'iD1': 'CCO', 'abbr1': 'Chief Comp.', 'iD2': 'SEC', 'abbr2': 'Secy.', 'Value': 'Chief Compliance Officer, Company Secretary'}"
8,11/13/2024,Vamsi,Ramamohan,Burra,,"{'startYear': '2024', 'startMonth': '11', 'startDay': '13', 'iD1': 'EDR', 'abbr1': 'Exec. Dir.', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director, Director (Projects)'}"
9,07/06/2022,Yatindra,,Dwivedi,57,"{'startYear': '2023', 'startMonth': '8', 'startDay': '31', 'iD1': 'EDR', 'abbr1': 'Exec. Dir.', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director, Director (Personnel)'}"
10,07/06/2022,Tarun,,Bajaj,,"{'startYear': '2022', 'startMonth': '7', 'startDay': '6', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director'}"
