displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,-2.18
"Revenue growth rate, 5 year",revenueGrowthRate5Year,9.69
"EPS growth rate, 5 year",ePSGrowthRate5Year,6.28
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,4.78
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,7.66
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,8.39
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),9.29
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,0.57
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,6.50
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,-1.37
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,9.24
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,7.77
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,1.05
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),-1.14
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,-2.84
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,6.35
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,0.48
