displayName,key,value
Market Cap,marketCap,526217.30
52 week Low Date,52WeekLowDate,2025-04-07T00:00:00
Price - 1 Day % Change,price1DayPercentChange,0.50
Relative (S&P500) price percent change - 13 week,relativePricePercentChange13Week,-5.71
Avg trading volume last 10 days,avgTradingVolumeLast10Days,59.66
Price - 13 week price percent change,price13WeekPricePercentChange,3.30
Price - 52 week price percent change,price52WeekPricePercentChange,2.96
Avg Trading Volume Last 3 months,avgTradingVolumeLast3months,441.96
Price - 5 Day % Change,price5DayPercentChange,0.08
Price % Change Month To Date,pricePercentChangeMonthToDate,0.25
Relative (S&P500) price percent change - 04 week,relativePricePercentChange-04week,-3.99
52 week High Date,52WeekHighDate,2024-09-27T00:00:00
Price - 26 week price percent change,price26WeekPricePercentChange,-5.24
PDATE,PDATE,2025-06-05T00:00:00
Price - YTD price percent change,priceYTDPricePercentChange,-8.40
Relative (S&P500) price percent change - 52 week,relativePricePercentChange52Week,-5.97
NPRICE,NPRICE,419.10
Relative (S&P500) price percent change - 26 week,relativePricePercentChange26Week,-4.86
52 week Low,52WeekLow,390.15
52 week High,52WeekHigh,499.97
Beta,beta,0.81
Relative (S&P500) price percent change - Year to Date,relativePricePercentChangeYearToDate,-12.12
