displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,4535.00,,,2025,Annual
Depreciation/ Depletion ,Depreciation/Depletion,693.00,,,2025,Annual
Non- Cash Items ,Non-CashItems,546.00,,,2025,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-6315,,,2025,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,-541,,,2025,Annual
Capital Expenditures ,CapitalExpenditures,-494,,,2025,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,1040.00,,,2025,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,546.00,,,2025,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-546,,,2025,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-976,,,2025,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,-6,,,2025,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,1521.00,,,2025,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-7,,,2025,Annual
Net Changein Cash ,NetChangeinCash,-2,,,2025,Annual
Cash Interest Paid ,CashInterestPaid,538.00,,,2025,Annual
Cash Taxes Paid ,CashTaxesPaid,1089.00,,,2025,Annual
period Length ,periodLength,12,,,2025,Annual
period Type ,periodType,Months,,,2025,Annual
