displayName,key,value
"P/E excluding extraordinary items, most recent fiscal year",pPerEExcludingExtraordinaryItemsMostRecentFiscalYear,8.26
"Current Dividend Yield - Common Stock Primary Issue, LTM",currentDividendYieldCommonStockPrimaryIssueLTM,5.15
Price to Book - most recent fiscal year,priceToBookMostRecentFiscalYear,0.87
Price to Free Cash Flow per Share - trailing 12 months,priceToFreeCashFlowPerShareTrailing12Months,16.43
P/E Basic excluding extraordinary items - TTM,pPerEBasicExcludingExtraordinaryItemsTTM,8.57
P/E including extraordinary items - TTM,pPerEIncludingExtraordinaryItemsTTM,8.27
"P/E excluding extraordinary items low, trailing 12 months",pPerEExcludingExtraordinaryItemsLowTrailing12Months,3.70
Price to Tangible Book - most fiscal year,priceToTangibleBookMostFiscalYear,0.99
Dividend Yield - 5 Year Average,dividendYield5YearAverage,5.35
Price to sales - most recent fiscal year,priceToSalesMostRecentFiscalYear,0.45
"Net Debt, LFI",netDebtLFI,1419416.00
Price to Tangible Book - most recent quarter,priceToTangibleBookMostRecentQuarter,0.99
Price to Book - most recent quarter,priceToBookMostRecentQuarter,0.87
Dividend Yield - indicated annual dividend divided by closing price,dividendYieldIndicatedAnnualDividendDividedByClosingprice,5.68
Price to Cash Flow per share - trailing 12 month,priceToCashFlowPerShareTrailing12Month,4.07
Peg Ratio,pegRatio,-1.13
is ForCasted,isForCasted,true
Price to Free Cash Flow per Share - most recent fiscal year,priceToFreeCashFlowPerShareMostRecentFiscalYear,16.43
"P/E Normalized, most recent fiscal year",pPerENormalizedMostRecentFiscalYear,8.23
"P/E excluding extraordinary items high, trailing 12 months",pPerExcludingExtraordinaryItemsHighTrailing12Months,151.71
"P/E excluding extraordinary items, most recent fiscal year quarter",pPerEExcludingExtraordinaryItemsMostRecentFiscalYearQuarter,8.27
Price to sales - trailing 12 month,priceToSalesTrailing12Month,0.45
"Net Debt, LFY",netDebtLFY,1419416.00
