rank,since,firstName,mI,lastName,age,title
1,03/17/2023,Gopalan,,Krishnakumar,60,"{'startYear': '2023', 'startMonth': '3', 'startDay': '17', 'iD1': 'CHM', 'abbr1': 'Chmn.', 'iD2': 'MDR', 'abbr2': 'Mgng.Dir.', 'Value': 'Chairman of the Board, Managing Director'}"
2,08/01/2021,Vetsa,Ramakrishn,Gupta,53,"{'startYear': '2023', 'startMonth': '4', 'startDay': '30', 'iD1': 'FID', 'abbr1': 'Fin. Dir.', 'iD2': 'DRC', 'abbr2': 'Dir.', 'Value': 'Finance Director, Director'}"
3,02/13/2020,V.,,Kala,,"{'startYear': '2020', 'startMonth': '2', 'startDay': '13', 'iD1': 'CCO', 'abbr1': 'Chief Comp.', 'iD2': 'SEC', 'abbr2': 'Secy.', 'Value': 'Compliance Officer, Company Secretary'}"
4,08/22/2022,Sukhmal,Kumar,Jain,,"{'startYear': '2022', 'startMonth': '8', 'startDay': '22', 'iD1': 'EDR', 'abbr1': 'Exec. Dir.', 'iD2': 'DMK', 'abbr2': 'Dir.-Mktg.', 'Value': 'Director - Marketing, Executive Director'}"
5,01/05/2023,Rajkumar,,Dubey,59,"{'startYear': '2023', 'startMonth': '1', 'startDay': '5', 'iD1': 'EDR', 'abbr1': 'Exec. Dir.', 'iD2': 'DHR', 'abbr2': 'Dir.-HR', 'Value': 'Director - Human Resources, Executive Director'}"
6,02/22/2022,Sanjay,,Khanna,56,"{'startYear': '2022', 'startMonth': '2', 'startDay': '22', 'iD1': 'EDR', 'abbr1': 'Exec. Dir.', 'iD2': '', 'abbr2': '', 'Value': 'Director - Refineries, Executive Director'}"
7,04/01/2025,Rajeev,,C,,"{'startYear': '2025', 'startMonth': '4', 'startDay': '1', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director - Kochi Refinery'}"
8,04/01/2025,Parthasarthy,,D,,"{'startYear': '2025', 'startMonth': '4', 'startDay': '1', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director - HRS'}"
9,04/01/2025,Senthilkumar,,G R,,"{'startYear': '2025', 'startMonth': '4', 'startDay': '1', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director - Kochi Refinery'}"
10,04/01/2025,Nikhil,Singh,K,,"{'startYear': '2025', 'startMonth': '4', 'startDay': '1', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director - Co-ordination'}"
