displayName,key,value
"P/E excluding extraordinary items, most recent fiscal year",pPerEExcludingExtraordinaryItemsMostRecentFiscalYear,9.93
"Current Dividend Yield - Common Stock Primary Issue, LTM",currentDividendYieldCommonStockPrimaryIssueLTM,1.61
Price to Book - most recent fiscal year,priceToBookMostRecentFiscalYear,1.65
Price to Free Cash Flow per Share - trailing 12 months,priceToFreeCashFlowPerShareTrailing12Months,68.10
P/E Basic excluding extraordinary items - TTM,pPerEBasicExcludingExtraordinaryItemsTTM,8.92
P/E including extraordinary items - TTM,pPerEIncludingExtraordinaryItemsTTM,9.92
"P/E excluding extraordinary items low, trailing 12 months",pPerEExcludingExtraordinaryItemsLowTrailing12Months,2.68
Price to Tangible Book - most fiscal year,priceToTangibleBookMostFiscalYear,2.03
Dividend Yield - 5 Year Average,dividendYield5YearAverage,
Price to sales - most recent fiscal year,priceToSalesMostRecentFiscalYear,0.27
"Net Debt, LFI",netDebtLFI,451900.30
Price to Tangible Book - most recent quarter,priceToTangibleBookMostRecentQuarter,2.03
Price to Book - most recent quarter,priceToBookMostRecentQuarter,1.65
Dividend Yield - indicated annual dividend divided by closing price,dividendYieldIndicatedAnnualDividendDividedByClosingprice,3.31
Price to Cash Flow per share - trailing 12 month,priceToCashFlowPerShareTrailing12Month,6.53
Peg Ratio,pegRatio,2.27
is ForCasted,isForCasted,true
Price to Free Cash Flow per Share - most recent fiscal year,priceToFreeCashFlowPerShareMostRecentFiscalYear,68.10
"P/E Normalized, most recent fiscal year",pPerENormalizedMostRecentFiscalYear,9.72
"P/E excluding extraordinary items high, trailing 12 months",pPerExcludingExtraordinaryItemsHighTrailing12Months,34.48
"P/E excluding extraordinary items, most recent fiscal year quarter",pPerEExcludingExtraordinaryItemsMostRecentFiscalYearQuarter,9.92
Price to sales - trailing 12 month,priceToSalesTrailing12Month,0.27
"Net Debt, LFY",netDebtLFY,451900.30
