tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003296,Fortis Healthcare,,2025-02-19,,2025-03-22,POM
S0003296,Fortis Healthcare,,2024-09-05,,2024-10-07,POM
S0003296,Fortis Healthcare,,2024-07-11,,2024-08-02,AGM
S0003296,Fortis Healthcare,,2024-02-29,,2024-04-01,POM
S0003296,Fortis Healthcare,,2023-12-04,,2024-01-03,POM
S0003296,Fortis Healthcare,,2023-11-07,,2023-12-08,POM
S0003296,Fortis Healthcare,,2023-08-09,,2023-09-09,POM
S0003296,Fortis Healthcare,,2023-05-23,,2023-08-01,AGM
S0003296,Fortis Healthcare,,2023-06-02,,2023-07-01,POM
S0003296,Fortis Healthcare,,2022-06-21,,2022-08-01,AGM
S0003296,Fortis Healthcare,,2022-03-07,,2022-04-09,POM
S0003296,Fortis Healthcare,,2022-01-13,,2022-02-18,POM
S0003296,Fortis Healthcare,,2021-06-29,,2021-07-30,AGM
S0003296,Fortis Healthcare,,2021-02-12,,2021-03-16,POM
