displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,57287.79,,,2024,Interim
Depreciation/ Depletion ,Depreciation/Depletion,15866.11,,,2024,Interim
Non- Cash Items ,Non-CashItems,3641.26,,,2024,Interim
Changesin Working Capital ,ChangesinWorkingCapital,-5696.53,,,2024,Interim
Cashfrom Operating Activities ,CashfromOperatingActivities,71098.63,,,2024,Interim
Capital Expenditures ,CapitalExpenditures,-37175.35,,,2024,Interim
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,5711.60,,,2024,Interim
Cashfrom Investing Activities ,CashfromInvestingActivities,-31463.75,,,2024,Interim
Financing Cash Flow Items ,FinancingCashFlowItems,-7768.86,,,2024,Interim
Total Cash Dividends Paid ,TotalCashDividendsPaid,-10972.58,,,2024,Interim
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-20643.20,,,2024,Interim
Cashfrom Financing Activities ,CashfromFinancingActivities,-39384.64,,,2024,Interim
Net Changein Cash ,NetChangeinCash,250.24,,,2024,Interim
Cash Interest Paid ,CashInterestPaid,7768.86,,,2024,Interim
Cash Taxes Paid ,CashTaxesPaid,11904.98,,,2024,Interim
period Length ,periodLength,12,,,2024,Interim
period Type ,periodType,Months,,,2024,Interim
