displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,370.37,,,2023,Annual
Short Term Investments ,ShortTermInvestments,6439.38,,,2023,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,6809.75,,,2023,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,3849.96,,,2023,Annual
Total Receivables Net ,TotalReceivablesNet,5835.29,,,2023,Annual
Total Inventory ,TotalInventory,7419.32,,,2023,Annual
Prepaid Expenses ,PrepaidExpenses,276.15,,,2023,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,402.39,,,2023,Annual
Total Current Assets ,TotalCurrentAssets,20742.90,,,2023,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,63975.88,,,2023,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-16305.24,,,2023,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,51705.55,,,2023,Annual
Goodwill Net ,GoodwillNet,6329.26,,,2023,Annual
Intangibles Net ,IntangiblesNet,5584.58,,,2023,Annual
Long Term Investments ,LongTermInvestments,1903.30,,,2023,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,4893.48,,,2023,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,227.89,,,2023,Annual
Total Assets ,TotalAssets,91386.96,,,2023,Annual
Accounts Payable ,AccountsPayable,7209.30,,,2023,Annual
Accrued Expenses ,AccruedExpenses,504.37,,,2023,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,3477.25,,,2023,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,1213.43,,,2023,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,11027.44,,,2023,Annual
Total Current Liabilities ,TotalCurrentLiabilities,23431.79,,,2023,Annual
Long Term Debt ,LongTermDebt,5356.41,,,2023,Annual
Capital Lease Obligations ,CapitalLeaseObligations,1010.65,,,2023,Annual
Total Long Term Debt ,TotalLongTermDebt,6367.06,,,2023,Annual
Total Debt ,TotalDebt,11057.74,,,2023,Annual
Deferred Income Tax ,DeferredIncomeTax,6260.11,,,2023,Annual
Minority Interest ,MinorityInterest,55.63,,,2023,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,947.83,,,2023,Annual
Total Liabilities ,TotalLiabilities,37062.42,,,2023,Annual
Common Stock Total ,CommonStockTotal,288.69,,,2023,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,5484.44,,,2023,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),48402.57,,,2023,Annual
Other Equity Total ,OtherEquityTotal,148.84,,,2023,Annual
Total Equity ,TotalEquity,54324.54,,,2023,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,91386.96,,,2023,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,28.87,,,2023,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,1469.09,,,2023,Annual
period Length ,periodLength,0.00,,,2023,Annual
