displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,18069.56,,,2025,Interim
Total Revenue ,TotalRevenue,18069.56,,,2025,Interim
Costof Revenue Total ,CostofRevenueTotal,7717.68,,,2025,Interim
Gross Profit ,GrossProfit,10351.88,,,2025,Interim
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,4919.50,,,2025,Interim
Depreciation/ Amortization ,Depreciation/Amortization,842.54,,,2025,Interim
Unusual Expense( Income) ,UnusualExpense(Income),-32.50,,,2025,Interim
Other Operating Expenses Total ,OtherOperatingExpensesTotal,2393.10,,,2025,Interim
Total Operating Expense ,TotalOperatingExpense,15840.32,,,2025,Interim
Operating Income ,OperatingIncome,2229.24,,,2025,Interim
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,-252.66,,,2025,Interim
Other Net ,OtherNet,165.74,,,2025,Interim
Net Income Before Taxes ,NetIncomeBeforeTaxes,2142.32,,,2025,Interim
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,447.10,,,2025,Interim
Net Income After Taxes ,NetIncomeAfterTaxes,1695.22,,,2025,Interim
Minority Interest ,MinorityInterest,1.37,,,2025,Interim
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,1696.59,,,2025,Interim
Net Income ,NetIncome,1696.59,,,2025,Interim
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,1696.59,,,2025,Interim
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,1696.59,,,2025,Interim
Diluted Net Income ,DilutedNetIncome,1696.59,,,2025,Interim
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,28.84,,,2025,Interim
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,58.82,,,2025,Interim
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,0.00,,,2025,Interim
Diluted Normalized EPS ,DilutedNormalizedEPS,57.93,,,2025,Interim
period Length ,periodLength,3,,,2025,Interim
period Type ,periodType,Months,,,2025,Interim
