displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,22753.12,,,2023,Annual
Total Revenue ,TotalRevenue,22753.12,,,2023,Annual
Costof Revenue Total ,CostofRevenueTotal,9314.24,,,2023,Annual
Gross Profit ,GrossProfit,13438.88,,,2023,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,7507.04,,,2023,Annual
Research Development ,ResearchDevelopment,385.39,,,2023,Annual
Depreciation/ Amortization ,Depreciation/Amortization,1017.83,,,2023,Annual
Interest Exp( Inc) Net- Operating Total ,InterestExp(Inc)Net-OperatingTotal,1.36,,,2023,Annual
Unusual Expense( Income) ,UnusualExpense(Income),309.57,,,2023,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,511.60,,,2023,Annual
Total Operating Expense ,TotalOperatingExpense,19047.03,,,2023,Annual
Operating Income ,OperatingIncome,3706.09,,,2023,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,296.84,,,2023,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,1.58,,,2023,Annual
Other Net ,OtherNet,33.84,,,2023,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,4038.35,,,2023,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,1202.86,,,2023,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,2835.49,,,2023,Annual
Minority Interest ,MinorityInterest,-30.98,,,2023,Annual
Equity In Affiliates ,EquityInAffiliates,-2.60,,,2023,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,2801.91,,,2023,Annual
Net Income ,NetIncome,2801.91,,,2023,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,2801.91,,,2023,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,2801.91,,,2023,Annual
Diluted Net Income ,DilutedNetIncome,2801.91,,,2023,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,80.76,,,2023,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,34.69,,,2023,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,8.50,,,2023,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,37.37,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
