displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Revenue ,Revenue,11602.03,,,2021,Annual
Total Revenue ,TotalRevenue,11602.03,,,2021,Annual
Costof Revenue Total ,CostofRevenueTotal,7171.64,,,2021,Annual
Gross Profit ,GrossProfit,4430.39,,,2021,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,2477.41,,,2021,Annual
Depreciation/ Amortization ,Depreciation/Amortization,253.85,,,2021,Annual
Interest Exp( Inc) Net- Operating Total ,InterestExp(Inc)Net-OperatingTotal,0.89,,,2021,Annual
Unusual Expense( Income) ,UnusualExpense(Income),30.65,,,2021,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,409.22,,,2021,Annual
Total Operating Expense ,TotalOperatingExpense,10343.66,,,2021,Annual
Operating Income ,OperatingIncome,1258.37,,,2021,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,27.67,,,2021,Annual
Other Net ,OtherNet,25.02,,,2021,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,1311.06,,,2021,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,317.27,,,2021,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,993.79,,,2021,Annual
Minority Interest ,MinorityInterest,-73.77,,,2021,Annual
Equity In Affiliates ,EquityInAffiliates,-63.33,,,2021,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,856.69,,,2021,Annual
Net Income ,NetIncome,856.69,,,2021,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,856.69,,,2021,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,856.69,,,2021,Annual
Diluted Net Income ,DilutedNetIncome,856.69,,,2021,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,93.30,,,2021,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,9.18,,,2021,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,4.00,,,2021,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,9.43,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
