displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,26076.88,,,2021,Annual
Total Revenue ,TotalRevenue,26076.88,,,2021,Annual
Costof Revenue Total ,CostofRevenueTotal,10631.18,,,2021,Annual
Gross Profit ,GrossProfit,15445.70,,,2021,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,3729.61,,,2021,Annual
Depreciation/ Amortization ,Depreciation/Amortization,325.27,,,2021,Annual
Unusual Expense( Income) ,UnusualExpense(Income),5968.58,,,2021,Annual
Total Operating Expense ,TotalOperatingExpense,20654.64,,,2021,Annual
Operating Income ,OperatingIncome,5422.24,,,2021,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,561.92,,,2021,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,-6.85,,,2021,Annual
Other Net ,OtherNet,14.95,,,2021,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,5992.26,,,2021,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,1572.44,,,2021,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,4419.82,,,2021,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,4419.82,,,2021,Annual
Net Income ,NetIncome,4419.82,,,2021,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,4419.82,,,2021,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,4419.82,,,2021,Annual
Diluted Net Income ,DilutedNetIncome,4419.82,,,2021,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,60.55,,,2021,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,73.00,,,2021,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,10.00,,,2021,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,145.79,,,2021,Annual
period Length ,periodLength,12,,,2021,Annual
period Type ,periodType,Months,,,2021,Annual
