displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,21.44
"Revenue growth rate, 5 year",revenueGrowthRate5Year,14.43
"EPS growth rate, 5 year",ePSGrowthRate5Year,19.89
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,10.66
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,31.48
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,22.23
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),15.86
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,-19.76
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,18.80
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,21.79
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,16.77
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,24.85
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,17.68
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),-7.58
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,3.27
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,9.42
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,7.95
