displayName,key,value
Market Cap,marketCap,412060.41
52 week Low Date,52WeekLowDate,2024-11-13T00:00:00
Price - 1 Day % Change,price1DayPercentChange,-0.31
Relative (S&P500) price percent change - 13 week,relativePricePercentChange13Week,-3.11
Avg trading volume last 10 days,avgTradingVolumeLast10Days,3.88
Price - 13 week price percent change,price13WeekPricePercentChange,6.15
Price - 52 week price percent change,price52WeekPricePercentChange,18.73
Avg Trading Volume Last 3 months,avgTradingVolumeLast3months,86.83
Price - 5 Day % Change,price5DayPercentChange,-2.00
Price % Change Month To Date,pricePercentChangeMonthToDate,-1.68
Relative (S&P500) price percent change - 04 week,relativePricePercentChange-04week,-4.75
52 week High Date,52WeekHighDate,2025-04-22T00:00:00
Price - 26 week price percent change,price26WeekPricePercentChange,14.91
PDATE,PDATE,2025-06-05T00:00:00
Price - YTD price percent change,priceYTDPricePercentChange,14.21
Relative (S&P500) price percent change - 52 week,relativePricePercentChange52Week,8.44
NPRICE,NPRICE,2039.90
Relative (S&P500) price percent change - 26 week,relativePricePercentChange26Week,15.37
52 week Low,52WeekLow,1679.05
52 week High,52WeekHigh,2301.90
Beta,beta,1.07
Relative (S&P500) price percent change - Year to Date,relativePricePercentChangeYearToDate,9.58
