uuid,title,description,url,published_at,source,symbols,sentiment_score,keywords,api_source
3eaf709f-e759-4d97-9621-1a64e6e7e49b,"SBI may bank on infra bonds to raise Rs 10,000 crore next week","State Bank of India is expected to enter the debt market next week to raise up to Rs 10,000 crore via infrastructure bonds, with Bank of India likely to follow a week later to raise Rs 5,000 crore. These bonds help reduce lenders' overall funding costs as they are exempt from CRR and SLR",https://economictimes.indiatimes.com/industry/banking/finance/banking/sbi-may-bank-on-infra-bonds-to-raise-rs-10000-crore-next-week/articleshow/111522289.cms,2024-07-05T18:58:36.000000Z,economictimes.indiatimes.com,SBIN.NS,0,"sbi, bank of india, SBI, infrastructure bonds, Bank of India, debt market, fund raising, sbi infra bonds, bob infra bonds, sbi debt sale, sbi bonds, sbi fund raising",marketaux
626a9d23-9d8c-4a02-8fb1-82612f152b3a,What's Going On With HDFC Bank Shares Today? - HDFC Bank (NYSE:HDB),"HDFC Bank shares tumble sharply amid concerns over flat deposit growth, potential loan portfolio sale, and regulatory scrutiny.",https://www.benzinga.com/markets/equities/24/07/39650600/whats-going-on-with-hdfc-bank-shares-today,2024-07-05T17:57:30.000000Z,benzinga.com,HDFCBANK.NS,0.296,,marketaux
509b83ba-3843-469e-9f31-9915fa1991b8,Anant Ambani and Radhika arrives at Jio World Centre in Mumbai for their 'Sangeet ceremony' - The Economic Times Video,"Anant Ambani, the youngest son of Reliance Industries Limited Chairman and MD Mukesh Ambani, and Radhika Merchant, the daughter of industrialist Viren Merchant, are all set to tie the knot.",https://economictimes.indiatimes.com/magazines/panache/anant-ambani-and-radhika-arrives-at-jio-world-centre-in-mumbai-for-their-sangeet-ceremony/videoshow/111521339.cms,2024-07-05T17:26:48.000000Z,economictimes.indiatimes.com,RELIANCE.NS,0,"JIO, Anant Ambani and Radhika, Mukesh Ambani, Nita Ambani, Jio World Centre",marketaux
f3282bec-2e96-4716-9d68-b625bc2020e4,Justifying extravagance over ethical values,"THE lavish wedding of Anant Ambani, son of Mukesh Ambani, Asia’s richest man, has captivated global attention. It was the wedding to talk about but on...",https://thesun.my/opinion-news/justifying-extravagance-over-ethical-values-AK12816655,2024-08-04T23:50:37.000000Z,thesundaily.my,RELIANCE.NS,0,bhavani krishna iyer,marketaux
ed41211b-c687-42b7-8bde-540f971704be,"Banks' profits healthy, but margins may shrink and deposits could disappoint","Banks experienced growing stress in unsecured retail, micro finance, and rural loans in the first quarter, influenced by heatwaves, election slowdowns, and higher risk weights. Despite a 21% increase in net profit, margins and deposit growth continued to lag credit demand. Major slippages were seen in State Bank of India and IDFC First Bank. Analysts consider these challenges temporary but warn of declining margins and high deposit rate requirements to attract savings.",https://economictimes.indiatimes.com/industry/banking/finance/banking/banks-profits-healthy-but-margins-may-shrink-and-deposits-could-disappoint/articleshow/112270468.cms,2024-08-04T19:09:06.000000Z,economictimes.indiatimes.com,SBIN.NS,0.6908,"banks profits, margins, deposits, stress, asset quality, slippages, credit deposit ratio, loan portfolio, RBI, Credit, state bank of india, bank of baroda, hdfc bank, axis bank, idfc first bank",marketaux
799af969-b0e5-4003-91f1-0cac509428dd,"Investors earn Rs 32000 crore in just 5 days after this share rises by 2.58%, it's not Reliance, TCS","In contrast, Friday's (August 2) decline resulted in a loss of over Rs 4 lakh crore in the market cap of almost all listed firms on BSE.",https://www.dnaindia.com/business/report-investors-earn-rs-32000-crore-in-5-days-after-this-hdfc-bank-share-rises-by-258-it-s-not-reliance-tcs-3100410,2024-08-04T18:06:20.000000Z,dnaindia.com,SBIN.NS,0.4144,"HDFC Bank Share, investors, Rs 32000 crore, HDFC Bank, HDFC Bank market cap, Share Market, Stock Market, Business News",marketaux
e7a9db27-ce0d-4fa5-840d-c088402be20c,Govt launches Rs 750 cr fund AgriSure for support to agriculture startups,Union Agriculture Minister Shivraj Singh Chouhan on Tuesday launched a Rs 750-crore fund 'AgriSure' to provide financial support to agritech startups even as he underlined the need for increasing public as well as private investments in the farm sector.,https://www.business-standard.com/industry/agriculture/govt-launches-rs-750-cr-fund-agrisure-for-support-to-agriculture-startups-124090301130_1.html,2024-09-03T18:26:39.000000Z,business-standard.com,SBIN.NS,0.8934,"Shivraj Singh Chouhan, agri startups, agricultural startups",marketaux
9da8a018-1cb5-4313-b9c7-247ef0732c20,Matthews Pacific Tiger Fund Amplifies Focus on Axis Bank in Q2 2024,"Insightful Portfolio Adjustments Highlight Strategic Asian Market Investments

Matthews Pacific Tiger Fund (Trades, Portfolio), known for its strategic investme",https://www.gurufocus.com/news/2515281/matthews-pacific-tiger-fund-amplifies-focus-on-axis-bank-in-q2-2024,2024-09-03T18:01:31.000000Z,gurufocus.com,RELIANCE.NS|TATAMOTORS.NS,0.4939,"GuruFocus, Article, News, GuruFocus Research, TPE:2330, HKSE:00700, XKRX:005930, XKRX:005380, HKSE:03690, BOM:532215, NSE:RELIANCE, TPE:2317, TPE:3037, BOM:532898, HKSE:00291, NSE:TATAMOTORS, BOM:500480",marketaux
c7b36a61-ad1a-4e5f-afdf-26369beaefe4,Ahead of Market: 10 things that will decide stock action on Wednesday,"Indian ended flat on Tuesday, with the Nifty index extending its gains marginally. Analysts expect 25,200 to be key support, with resistance at 25,350-25,400 and a strong hurdle at 25,500. Mixed global signals and manufacturing slowdown contribute to market caution.",https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-action-on-wednesday/articleshow/113035316.cms,2024-09-03T16:01:40.000000Z,economictimes.indiatimes.com,ICICIBANK.NS|HDFCBANK.NS,0.4522,"stock action, Nifty 50, Sensex, market pulse, equity indices",marketaux
33127817-34cd-4f96-aec7-e6d5b92a4aea,Bulls huddle in bunkers as West Asia crisis explodes,"The NSE Nifty dropped 2.12%, or 546.80 points, to close at 25,250.10. The BSE Sensex fell 2.10%, or 1,769.19 points, to close at 82,497.10. This is the highest fall in a day since August 5. Apart from JSW Steel and ONGC, all other Nifty stocks closed lower on Thursday. Both indices have declined over 3% in 5 sessions.",https://economictimes.indiatimes.com/markets/stocks/news/bulls-huddle-in-bunkers-as-west-asia-crisis-explodes/articleshow/113921691.cms,2024-10-03T23:53:23.000000Z,economictimes.indiatimes.com,JSWSTEEL.NS,0,"market volatility, Bulls, Israel Iran conflict, NSE Nifty, BSE Sensex, Brent crude futures, foreign portfolio investors, ongc, jsw steel",marketaux
