displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,579.77,,,2025,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,432.52,,,2025,Interim
Long Term Investments ,LongTermInvestments,215698.53,,,2025,Interim
Other Assets Total ,OtherAssetsTotal,103338.49,,,2025,Interim
Total Assets ,TotalAssets,320049.31,,,2025,Interim
Policy Liabilities ,PolicyLiabilities,295012.13,,,2025,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2025,Interim
Long Term Debt ,LongTermDebt,950.00,,,2025,Interim
Total Long Term Debt ,TotalLongTermDebt,950.00,,,2025,Interim
Total Debt ,TotalDebt,950.00,,,2025,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,8737.32,,,2025,Interim
Total Liabilities ,TotalLiabilities,304699.45,,,2025,Interim
Common Stock Total ,CommonStockTotal,2150.98,,,2025,Interim
Additional Paid- In Capital ,AdditionalPaid-InCapital,0.07,,,2025,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),13198.81,,,2025,Interim
Total Equity ,TotalEquity,15349.86,,,2025,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,320049.31,,,2025,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,215.09,,,2025,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,71.36,,,2025,Interim
period Length ,periodLength,0.00,,,2025,Interim
