tickerId,companyName,remarks,recordDate,xdDate,interimOrFinal,instrumentType,value,percentage,dateOfAnnouncement,bookClosureStartDate,bookClosureEndDate,sortDate
S0003089,Sun Pharmaceutical Industries,Rs.5.5000 per share(550%)Final Dividend,2025-07-07,,Final,5,5.5,550,2025-05-22,,,2025-07-07
S0003089,Sun Pharmaceutical Industries,Rs.10.5000 per share(1050%)Interim Dividend,2025-02-06,2025-02-06,Interim,5,10.5,1050,2025-01-16,,,2025-02-06
S0003089,Sun Pharmaceutical Industries,Rs.5.0000 per share(500%)Final Dividend,2024-07-12,2024-07-12,Final,5,5.0,500,2024-05-22,,,2024-07-12
S0003089,Sun Pharmaceutical Industries,Rs.8.5000 per share(850%)Interim Dividend,2024-02-09,2024-02-09,Interim,5,8.5,850,2024-01-15,,,2024-02-09
S0003089,Sun Pharmaceutical Industries,Rs.4.0000 per share(400%)Final Dividend,2023-07-28,2023-07-28,Final,5,4.0,400,2023-07-07,,,2023-07-28
S0003089,Sun Pharmaceutical Industries,Rs.7.5000 per share(750%)Interim Dividend,2023-02-08,2023-02-08,Interim,5,7.5,750,2023-01-16,,,2023-02-08
S0003089,Sun Pharmaceutical Industries,Rs.3.0000 per share(300%)Final Dividend,2022-08-22,2022-08-19,Final,5,3.0,300,2022-05-31,,,2022-08-19
S0003089,Sun Pharmaceutical Industries,Rs.7.0000 per share(700%)Interim Dividend,2022-02-10,2022-02-09,Interim,5,7.0,700,2022-01-31,,,2022-02-09
S0003089,Sun Pharmaceutical Industries,Rs.2.0000 per share(200%)Final Dividend,,2021-08-23,Final,5,2.0,200,2021-05-27,2021-08-25,2021-08-31,2021-08-23
S0003089,Sun Pharmaceutical Industries,Rs.5.5000 per share(550%)Interim Dividend,2021-02-10,2021-02-09,Interim,5,5.5,550,2021-01-29,,,2021-02-09
S0003089,Sun Pharmaceutical Industries,Rs.1.0000 per share(100%)Final Dividend,,2020-08-19,Final,5,1.0,100,2020-05-27,2020-08-21,2020-08-27,2020-08-19
S0003089,Sun Pharmaceutical Industries,Rs.3.0000 per share(300%)Interim Dividend,2020-02-18,2020-02-17,Interim,5,3.0,300,2020-02-06,,,2020-02-17
S0003089,Sun Pharmaceutical Industries,Rs.2.7500 per share(275%)Dividend,,2019-08-20,Final,5,2.75,275,2019-05-28,2019-08-22,2019-08-28,2019-08-20
