tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003089,Sun Pharmaceutical Industries,,2025-05-22,,2025-07-31,AGM
S0003089,Sun Pharmaceutical Industries,,2025-02-20,,2025-03-27,POM
S0003089,Sun Pharmaceutical Industries,,2024-12-10,,2025-01-21,COM
S0003089,Sun Pharmaceutical Industries,,2024-06-19,,2024-08-05,AGM
S0003089,Sun Pharmaceutical Industries,,2023-07-07,,2023-08-28,AGM
S0003089,Sun Pharmaceutical Industries,,2022-08-03,,2022-08-29,AGM
S0003089,Sun Pharmaceutical Industries,,2021-08-04,,2021-08-31,AGM
S0003089,Sun Pharmaceutical Industries,,2021-02-05,,2021-03-16,COM
S0003089,Sun Pharmaceutical Industries,,2020-07-29,,2020-08-27,AGM
S0003089,Sun Pharmaceutical Industries,,2019-07-26,,2019-08-28,AGM
S0003089,Sun Pharmaceutical Industries,,2019-04-30,,2019-06-04,COM
